location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,month,year
Albania,ALB,11/25/21,2081782,1067769,953489,60524,11,2021
Albania,ALB,12/15/21,2226267,1111494,1001189,113584,12,2021
Albania,ALB,1/11/22,2419734,1183130,1067328,169276,1,2022
Albania,ALB,2/16/22,2673183,1263745,1184292,225146,2,2022
Albania,ALB,3/15/22,2737859,1275907,1209791,252161,3,2022
Argentina,ARG,12/31/20,43403,43395,7,1,12,2020
Argentina,ARG,1/31/21,389946,287307,102576,63,1,2021
Argentina,ARG,2/28/21,1274999,966869,308057,75,2,2021
Argentina,ARG,3/31/21,4278854,3569267,709482,104,3,2021
Argentina,ARG,4/30/21,8341756,7323138,1018475,143,4,2021
Argentina,ARG,5/31/21,13022025,10023476,2998325,224,5,2021
Argentina,ARG,6/30/21,21862344,17544891,4317023,431,6,2021
Argentina,ARG,7/31/21,33149440,25775863,7372712,661,7,2021
Argentina,ARG,8/31/21,44095558,28611692,13804175,1341,8,2021
Argentina,ARG,9/30/21,53109833,30139451,20653263,2531,9,2021
Argentina,ARG,10/31/21,61616736,35090091,23979858,63411,10,2021
Argentina,ARG,11/30/21,70040309,37393703,27857366,2228831,11,2021
Argentina,ARG,12/31/21,78305677,38825075,30780137,6183044,12,2021
Argentina,ARG,1/31/22,88946988,40247794,32696140,13495067,1,2022
Argentina,ARG,2/28/22,94426676,40843784,33764979,17225985,2,2022
Argentina,ARG,3/31/22,97346145,41037802,34209888,19460472,3,2022
Argentina,ARG,4/30/22,99416360,41116038,34419650,21229403,4,2022
Argentina,ARG,5/31/22,103620702,41181884,34581576,25179900,5,2022
Argentina,ARG,6/30/22,106484802,41222217,34644047,27907565,6,2022
Argentina,ARG,7/31/22,108247335,41253250,34683114,29568714,7,2022
Argentina,ARG,8/31/22,109297605,41314378,34714108,30502814,8,2022
Argentina,ARG,9/30/22,109845272,41352310,34743724,30967326,9,2022
Argentina,ARG,10/31/22,110134806,41379225,34767630,31195448,10,2022
Argentina,ARG,11/30/22,110768199,41401568,34787181,31777510,11,2022
Argentina,ARG,12/31/22,112937078,41429680,34804669,33885003,12,2022
Argentina,ARG,1/31/23,114506394,41465689,34835737,35374706,1,2023
Argentina,ARG,2/28/23,115041434,41484495,34861799,35864803,2,2023
Argentina,ARG,3/31/23,115331430,41492292,34874236,36134792,3,2023
Argentina,ARG,4/30/23,115582284,41496482,34881136,36374832,4,2023
Argentina,ARG,5/31/23,115780399,41500301,34886987,36563497,5,2023
Argentina,ARG,6/30/23,115912836,41503493,34891565,36688372,6,2023
Argentina,ARG,7/31/23,116023946,41506053,34895265,36793291,7,2023
Argentina,ARG,8/31/23,116140459,41508379,34898261,36904334,8,2023
Argentina,ARG,9/30/23,116366018,41512976,34899666,37122830,9,2023
Argentina,ARG,10/31/23,116560904,41517285,34900331,37311391,10,2023
Argentina,ARG,11/30/23,116655956,41521146,34900613,37400929,11,2023
Argentina,ARG,12/31/23,116717853,41523450,34900613,37459362,12,2023
Argentina,ARG,1/27/24,116978521,41529058,34900613,37713094,1,2024
Australia,AUS,10/31/21,35603091,19052562,16529442,21087,10,2021
Australia,AUS,11/30/21,39282954,20025197,18808812,448945,11,2021
Australia,AUS,12/30/21,42580539,20444346,19755837,2380356,12,2021
Australia,AUS,1/31/22,49866290,21683520,20211402,7971368,1,2022
Australia,AUS,2/28/22,54065507,22055898,20483240,11526369,2,2022
Australia,AUS,3/31/22,56362692,22210293,21240452,12911947,3,2022
Australia,AUS,4/7/22,56668400,22231734,21348489,13088177,4,2022
Azerbaijan,AZE,11/30/21,10527605,5079349,4566911,881345,11,2021
Azerbaijan,AZE,12/31/21,11346166,5169382,4676520,1500264,12,2021
Azerbaijan,AZE,1/31/22,12000767,5230388,4742174,2028205,1,2022
Azerbaijan,AZE,2/16/22,12627370,5273971,4768299,2585100,2,2022
Azerbaijan,AZE,3/31/22,13456322,5324386,4824633,3078608,3,2022
Azerbaijan,AZE,4/30/22,13649741,5340053,4840220,3229389,4,2022
Azerbaijan,AZE,5/29/22,13721284,5347501,4848699,3279440,5,2022
Azerbaijan,AZE,6/26/22,13762091,5353536,4853215,3306428,6,2022
Azerbaijan,AZE,7/31/22,13818005,5366776,4857889,3338784,7,2022
Azerbaijan,AZE,8/13/22,13837697,5369929,4859547,3351247,8,2022
Bahamas,BHS,12/23/21,300214,157041,147365,6954,12,2021
Bahrain,BHR,12/31/21,3226201,1203146,1177993,845062,12,2021
Bahrain,BHR,1/31/22,3357017,1223859,1193959,939199,1,2022
Bahrain,BHR,2/9/22,3375361,1227305,1197343,950713,2,2022
Bahrain,BHR,4/27/22,3433683,1234388,1218620,980675,4,2022
Bahrain,BHR,5/31/22,3444799,1236895,1220655,987249,5,2022
