location,variant,year,num_sequences,num_sequences_total,perc_sequences
Angola,Alpha,2021,156,1144,13.63636364
Angola,B.1.1.277,2021,0,1144,0
Angola,B.1.1.302,2021,0,1144,0
Angola,B.1.1.519,2021,0,1144,0
Angola,B.1.160,2021,3,1144,0.262237762
Angola,B.1.177,2021,4,1144,0.34965035
Angola,B.1.221,2021,0,1144,0
Angola,B.1.258,2021,1,1144,0.087412587
Angola,B.1.367,2021,0,1144,0
Angola,B.1.620,2021,2,1144,0.174825175
Angola,Beta,2021,336,1144,29.37062937
Angola,Delta,2021,160,1144,13.98601399
Angola,Epsilon,2021,0,1144,0
Angola,Eta,2021,9,1144,0.786713287
Angola,Gamma,2021,1,1144,0.087412587
Angola,Iota,2021,0,1144,0
Angola,Kappa,2021,6,1144,0.524475524
Angola,Lambda,2021,0,1144,0
Angola,Mu,2021,0,1144,0
Angola,Omicron,2021,0,1144,0
Angola,S:677H.Robin1,2021,0,1144,0
Angola,S:677P.Pelican,2021,0,1144,0
Angola,non_who,2021,238,1144,20.8041958
Angola,others,2021,228,1144,19.93006993
Argentina,Alpha,2021,366,7727,4.736637764
Argentina,B.1.1.277,2021,0,7727,0
Argentina,B.1.1.302,2021,0,7727,0
Argentina,B.1.1.519,2021,42,7727,0.543548596
Argentina,B.1.160,2021,0,7727,0
Argentina,B.1.177,2021,0,7727,0
Argentina,B.1.221,2021,0,7727,0
Argentina,B.1.258,2021,1,7727,0.012941633
Argentina,B.1.367,2021,0,7727,0
Argentina,B.1.620,2021,0,7727,0
Argentina,Beta,2021,1,7727,0.012941633
Argentina,Delta,2021,1614,7727,20.88779604
Argentina,Epsilon,2021,42,7727,0.543548596
Argentina,Eta,2021,1,7727,0.012941633
Argentina,Gamma,2021,2859,7727,37.00012942
Argentina,Iota,2021,21,7727,0.271774298
Argentina,Kappa,2021,0,7727,0
Argentina,Lambda,2021,1108,7727,14.33932962
Argentina,Mu,2021,26,7727,0.336482464
Argentina,Omicron,2021,93,7727,1.203571891
Argentina,S:677H.Robin1,2021,0,7727,0
Argentina,S:677P.Pelican,2021,0,7727,0
Argentina,non_who,2021,798,7727,10.32742332
Argentina,others,2021,755,7727,9.770933092
Aruba,Alpha,2021,551,3292,16.73754557
Aruba,B.1.1.277,2021,0,3292,0
Aruba,B.1.1.302,2021,0,3292,0
Aruba,B.1.1.519,2021,27,3292,0.820170109
Aruba,B.1.160,2021,0,3292,0
Aruba,B.1.177,2021,18,3292,0.546780073
Aruba,B.1.221,2021,2,3292,0.060753341
Aruba,B.1.258,2021,0,3292,0
Aruba,B.1.367,2021,0,3292,0
Aruba,B.1.620,2021,0,3292,0
Aruba,Beta,2021,4,3292,0.121506683
Aruba,Delta,2021,1764,3292,53.58444714
Aruba,Epsilon,2021,57,3292,1.731470231
Aruba,Eta,2021,0,3292,0
Aruba,Gamma,2021,123,3292,3.736330498
Aruba,Iota,2021,102,3292,3.098420413
Aruba,Kappa,2021,0,3292,0
Aruba,Lambda,2021,2,3292,0.060753341
Aruba,Mu,2021,95,3292,2.885783718
Aruba,Omicron,2021,0,3292,0
Aruba,S:677H.Robin1,2021,2,3292,0.060753341
Aruba,S:677P.Pelican,2021,0,3292,0
Aruba,non_who,2021,297,3292,9.021871203
Aruba,others,2021,248,3292,7.533414338
Australia,Alpha,2021,606,32723,1.851908444
Australia,B.1.1.277,2021,0,32723,0
Australia,B.1.1.302,2021,0,32723,0
Australia,B.1.1.519,2021,6,32723,0.018335727
Australia,B.1.160,2021,4,32723,0.012223818
Australia,B.1.177,2021,14,32723,0.042783363
Australia,B.1.221,2021,0,32723,0
Australia,B.1.258,2021,1,32723,0.003055955
Australia,B.1.367,2021,0,32723,0
Australia,B.1.620,2021,0,32723,0
Australia,Beta,2021,94,32723,0.287259726
Australia,Delta,2021,29128,32723,89.01384347
Australia,Epsilon,2021,18,32723,0.055007181
Australia,Eta,2021,7,32723,0.021391682
Australia,Gamma,2021,8,32723,0.024447636
Australia,Iota,2021,5,32723,0.015279773
Australia,Kappa,2021,156,32723,0.476728906
Australia,Lambda,2021,1,32723,0.003055955
Australia,Mu,2021,1,32723,0.003055955
Australia,Omicron,2021,1693,32723,5.173731015
Australia,S:677H.Robin1,2021,1,32723,0.003055955
Australia,S:677P.Pelican,2021,0,32723,0
Australia,non_who,2021,503,32723,1.537145127
Australia,others,2021,477,32723,1.45769031
Austria,Alpha,2021,3561,12879,27.64966224
Austria,B.1.1.277,2021,1,12879,0.007764578
Austria,B.1.1.302,2021,0,12879,0
Austria,B.1.1.519,2021,0,12879,0
Austria,B.1.160,2021,165,12879,1.281155369
Austria,B.1.177,2021,143,12879,1.110334653
Austria,B.1.221,2021,5,12879,0.03882289
Austria,B.1.258,2021,304,12879,2.360431711
Austria,B.1.367,2021,0,12879,0
Austria,B.1.620,2021,0,12879,0
Austria,Beta,2021,268,12879,2.080906903
Austria,Delta,2021,6567,12879,50.98998369
Austria,Epsilon,2021,0,12879,0
Austria,Eta,2021,15,12879,0.11646867
Austria,Gamma,2021,34,12879,0.263995652
Austria,Iota,2021,2,12879,0.015529156
Austria,Kappa,2021,1,12879,0.007764578
Austria,Lambda,2021,0,12879,0
Austria,Mu,2021,49,12879,0.380464322
Austria,Omicron,2021,34,12879,0.263995652
Austria,S:677H.Robin1,2021,0,12879,0
Austria,S:677P.Pelican,2021,0,12879,0
Austria,non_who,2021,1174,12879,9.115614566
Austria,others,2021,556,12879,4.317105365
Bahrain,Alpha,2021,61,2137,2.854468882
Bahrain,B.1.1.277,2021,0,2137,0
Bahrain,B.1.1.302,2021,0,2137,0
Bahrain,B.1.1.519,2021,0,2137,0
Bahrain,B.1.160,2021,0,2137,0
Bahrain,B.1.177,2021,0,2137,0
Bahrain,B.1.221,2021,0,2137,0
Bahrain,B.1.258,2021,0,2137,0
Bahrain,B.1.367,2021,0,2137,0
Bahrain,B.1.620,2021,0,2137,0
Bahrain,Beta,2021,12,2137,0.561534862
Bahrain,Delta,2021,2019,2137,94.47824052
Bahrain,Epsilon,2021,0,2137,0
Bahrain,Eta,2021,0,2137,0
Bahrain,Gamma,2021,1,2137,0.046794572
Bahrain,Iota,2021,0,2137,0
Bahrain,Kappa,2021,8,2137,0.374356575
Bahrain,Lambda,2021,0,2137,0
Bahrain,Mu,2021,0,2137,0
Bahrain,Omicron,2021,0,2137,0
Bahrain,S:677H.Robin1,2021,0,2137,0
Bahrain,S:677P.Pelican,2021,0,2137,0
Bahrain,non_who,2021,18,2137,0.842302293
Bahrain,others,2021,18,2137,0.842302293
Bangladesh,Alpha,2021,98,2814,3.482587065
Bangladesh,B.1.1.277,2021,0,2814,0
Bangladesh,B.1.1.302,2021,0,2814,0
Bangladesh,B.1.1.519,2021,0,2814,0
Bangladesh,B.1.160,2021,0,2814,0
Bangladesh,B.1.177,2021,0,2814,0
Bangladesh,B.1.221,2021,0,2814,0
Bangladesh,B.1.258,2021,0,2814,0
Bangladesh,B.1.367,2021,0,2814,0
Bangladesh,B.1.620,2021,0,2814,0
Bangladesh,Beta,2021,420,2814,14.92537313
Bangladesh,Delta,2021,1798,2814,63.89481166
Bangladesh,Epsilon,2021,0,2814,0
Bangladesh,Eta,2021,16,2814,0.568585643
Bangladesh,Gamma,2021,1,2814,0.035536603
Bangladesh,Iota,2021,0,2814,0
Bangladesh,Kappa,2021,0,2814,0
Bangladesh,Lambda,2021,0,2814,0
Bangladesh,Mu,2021,0,2814,0
Bangladesh,Omicron,2021,7,2814,0.248756219
Bangladesh,S:677H.Robin1,2021,0,2814,0
Bangladesh,S:677P.Pelican,2021,0,2814,0
Bangladesh,non_who,2021,237,2814,8.42217484
Bangladesh,others,2021,237,2814,8.42217484
Belgium,Alpha,2021,21384,77300,27.66364812
Belgium,B.1.1.277,2021,0,77300,0
Belgium,B.1.1.302,2021,0,77300,0
Belgium,B.1.1.519,2021,1,77300,0.001293661
Belgium,B.1.160,2021,748,77300,0.967658473
Belgium,B.1.177,2021,918,77300,1.187580854
Belgium,B.1.221,2021,956,77300,1.236739974
Belgium,B.1.258,2021,179,77300,0.23156533
Belgium,B.1.367,2021,0,77300,0
Belgium,B.1.620,2021,39,77300,0.050452781
Belgium,Beta,2021,1122,77300,1.45148771
Belgium,Delta,2021,42339,77300,54.77231565
Belgium,Epsilon,2021,1,77300,0.001293661
Belgium,Eta,2021,51,77300,0.065976714
Belgium,Gamma,2021,2042,77300,2.641655886
Belgium,Iota,2021,1,77300,0.001293661
Belgium,Kappa,2021,17,77300,0.021992238
Belgium,Lambda,2021,10,77300,0.012936611
Belgium,Mu,2021,54,77300,0.069857697
Belgium,Omicron,2021,759,77300,0.981888745
Belgium,S:677H.Robin1,2021,0,77300,0
Belgium,S:677P.Pelican,2021,0,77300,0
Belgium,non_who,2021,4760,77300,6.157826649
Belgium,others,2021,1919,77300,2.482535576
Belize,Alpha,2021,29,428,6.775700935
Belize,B.1.1.277,2021,0,428,0
Belize,B.1.1.302,2021,0,428,0
Belize,B.1.1.519,2021,4,428,0.934579439
Belize,B.1.160,2021,0,428,0
Belize,B.1.177,2021,0,428,0
Belize,B.1.221,2021,0,428,0
Belize,B.1.258,2021,0,428,0
Belize,B.1.367,2021,0,428,0
Belize,B.1.620,2021,0,428,0
Belize,Beta,2021,0,428,0
Belize,Delta,2021,95,428,22.19626168
Belize,Epsilon,2021,3,428,0.700934579
Belize,Eta,2021,0,428,0
Belize,Gamma,2021,22,428,5.140186916
Belize,Iota,2021,1,428,0.23364486
Belize,Kappa,2021,0,428,0
Belize,Lambda,2021,0,428,0
Belize,Mu,2021,0,428,0
Belize,Omicron,2021,0,428,0
Belize,S:677H.Robin1,2021,0,428,0
Belize,S:677P.Pelican,2021,0,428,0
Belize,non_who,2021,139,428,32.47663551
Belize,others,2021,135,428,31.54205607
Benin,Alpha,2021,71,1015,6.995073892
Benin,B.1.1.277,2021,0,1015,0
Benin,B.1.1.302,2021,0,1015,0
Benin,B.1.1.519,2021,0,1015,0
Benin,B.1.160,2021,1,1015,0.098522167
Benin,B.1.177,2021,0,1015,0
Benin,B.1.221,2021,0,1015,0
Benin,B.1.258,2021,0,1015,0
Benin,B.1.367,2021,0,1015,0
Benin,B.1.620,2021,4,1015,0.39408867
Benin,Beta,2021,4,1015,0.39408867
Benin,Delta,2021,206,1015,20.2955665
Benin,Epsilon,2021,0,1015,0
Benin,Eta,2021,204,1015,20.09852217
Benin,Gamma,2021,0,1015,0
Benin,Iota,2021,0,1015,0
Benin,Kappa,2021,0,1015,0
Benin,Lambda,2021,0,1015,0
Benin,Mu,2021,0,1015,0
Benin,Omicron,2021,0,1015,0
Benin,S:677H.Robin1,2021,0,1015,0
Benin,S:677P.Pelican,2021,0,1015,0
Benin,non_who,2021,265,1015,26.10837438
Benin,others,2021,260,1015,25.61576355
Bosnia and Herzegovina,Alpha,2021,78,1011,7.715133531
Bosnia and Herzegovina,B.1.1.277,2021,0,1011,0
Bosnia and Herzegovina,B.1.1.302,2021,0,1011,0
Bosnia and Herzegovina,B.1.1.519,2021,0,1011,0
Bosnia and Herzegovina,B.1.160,2021,3,1011,0.296735905
Bosnia and Herzegovina,B.1.177,2021,1,1011,0.098911968
Bosnia and Herzegovina,B.1.221,2021,0,1011,0
Bosnia and Herzegovina,B.1.258,2021,4,1011,0.395647873
Bosnia and Herzegovina,B.1.367,2021,0,1011,0
Bosnia and Herzegovina,B.1.620,2021,0,1011,0
